 [*] Building advantage function...
 [*] Building policy function...
 [*] Building natural gradient...
 [*] Building summaries...
 [*] Model built finished
 [*] Reading checkpoints...
 [*] Failed to find a checkpoint
Global-step 0 --Accept update with alpha=1.0, kl=2.0485813934101316e-07, old=-3.8208961486816406, new=-3.821317195892334
Global-step 3 --Accept update with alpha=1.0, kl=8.066527357186715e-08, old=-1.4863874912261963, new=-1.486438512802124
Global-step 3 --Accept update with alpha=1.0, kl=6.52322595939836e-09, old=-1.4863874912261963, new=-1.4864000082015991
Global-step 5 --Accept update with alpha=1.0, kl=1.8019900949184375e-07, old=0.78610759973526, new=0.7859810590744019
Global-step 6 --Accept update with alpha=1.0, kl=5.880097520005734e-10, old=0.6653488874435425, new=0.6653466820716858
Global-step 6 --Accept update with alpha=1.0, kl=3.135214865501723e-10, old=0.6653488874435425, new=0.665347158908844
Global-step 6 --Accept update with alpha=1.0, kl=4.66564009649062e-10, old=0.6653488874435425, new=0.6653473377227783
Global-step 9 --Accept update with alpha=1.0, kl=5.577183159743981e-10, old=0.48490509390830994, new=0.48490506410598755
Global-step 10 --Accept update with alpha=0.0078125, kl=1.7866120366992477e-14, old=0.7278216481208801, new=0.7278215885162354
Global-step 12 --Accept update with alpha=1.0, kl=1.0721216803233347e-08, old=0.5279588103294373, new=0.5279378294944763
Global-step 12 --Accept update with alpha=1.0, kl=2.9974047688341443e-09, old=0.5279588103294373, new=0.5279480218887329
Global-step 12 --Accept update with alpha=1.0, kl=4.827079846947413e-10, old=0.5279588103294373, new=0.5279587507247925
Global-step 12 --Accept update with alpha=1.0, kl=5.336142638867614e-10, old=0.5279588103294373, new=0.5279546976089478
Global-step 12 --Accept update with alpha=0.00390625, kl=6.149003916857071e-15, old=0.5279588103294373, new=0.5279587507247925
Global-step 13 --Accept update with alpha=1.0, kl=3.2612626488237595e-10, old=0.48100265860557556, new=0.4810011088848114
Global-step 13 --Accept update with alpha=1.0, kl=1.5645703482780604e-11, old=0.48100265860557556, new=0.48100224137306213
Global-step 13 --Accept update with alpha=0.0078125, kl=9.619730312077513e-15, old=0.48100265860557556, new=0.4810026288032532
Global-step 13 --Accept update with alpha=1.0, kl=1.175183145241121e-10, old=0.48100265860557556, new=0.4810018837451935
Global-step 13 --Accept update with alpha=0.00390625, kl=7.659399610599523e-15, old=0.48100265860557556, new=0.4810026288032532
Global-step 13 --Accept update with alpha=1.0, kl=8.768016868110351e-11, old=0.48100265860557556, new=0.4810023903846741
Global-step 13 --Accept update with alpha=1.0, kl=2.3319612907357623e-10, old=0.48100265860557556, new=0.48100224137306213
Global-step 13 --Accept update with alpha=1.0, kl=9.760234842559612e-10, old=0.48100265860557556, new=0.481000155210495
Global-step 13 --Accept update with alpha=0.03125, kl=1.0539411411745331e-13, old=0.48100265860557556, new=0.4810026288032532
Global-step 13 --Accept update with alpha=0.015625, kl=3.9521486669240324e-14, old=0.48100265860557556, new=0.4810025691986084
Global-step 14 --Accept update with alpha=1.0, kl=5.681586867645194e-10, old=-0.058908477425575256, new=-0.058911122381687164
Global-step 16 --Accept update with alpha=1.0, kl=3.2907788907049484e-12, old=0.006908143404871225, new=0.006908115930855274
Global-step 16 --Accept update with alpha=0.0078125, kl=3.88444200943359e-16, old=0.006908143404871225, new=0.0069081420078873634
Global-step 18 --Accept update with alpha=0.00390625, kl=3.8307435616490157e-16, old=-0.17692741751670837, new=-0.17692743241786957
Global-step 21 --Accept update with alpha=0.0078125, kl=2.1133594006739198e-13, old=-0.9592832326889038, new=-0.9592832922935486
